"Гомельская","Акцябрскі","Любанскі","в.","Пружы́нішчы","м.","-нішч і -нішчаў, -шчамі, -шчах","Pružyniščy","Пружинищи"
"Гомельская","Акцябрскі","Любанскі","в.","Чарня́ўка","мн.","-кі, -кай і -каю, -ўцы","Čarniaŭka","Чернявка"
"Гомельская","Акцябрскі","Ляскавіцкі","в.","А́льбінск","м.","-ка, -кам, -ку","Aĺbinsk","Альбинск"
"Гомельская","Акцябрскі","Ляскавіцкі","в.","За́балацце","н.","-цця, -ццем, -цці","Zabalaccie","Заболотье"
"Гомельская","Акцябрскі","Ляскавіцкі","в.","Ля́скавічы","мн.","-віч і -вічаў, -чамі, -чах","Liaskavičy","Лясковичи"
"Гомельская","Акцябрскі","Парэцкі","в.","Бе́ркаў","м.","-ва, -вам, -ве","Bierkaŭ","Берков"
"Гомельская","Акцябрскі","Парэцкі","в.","Мёдухаў","м.","-ва, -вам, -ве","Mioduchaŭ","Мёдухов"
"Гомельская","Акцябрскі","Парэцкі","в.","Парэ́чча","н.","-чча, -ччам, -ччы","Parečča","Поречье"
"Гомельская","Акцябрскі","Парэцкі","в.","Ражано́ў","м.","-ва, -вам, -ве","Ražanoŭ","Рожанов"
"Гомельская","Акцябрскі","Парэцкі","в.","Ра́стаў","м.","-ва, -вам, -ве","Rastaŭ","Растов"
"Гомельская","Акцябрскі","Парэцкі","в.","Харо́мцы","н.","-цаў, -цамі, -цах","Charomcy","Хоромцы"
"Гомельская","Акцябрскі","Пратасаўскі","в.","Вуглы́","мн.","-ло́ў, -ла́мі, -ла́х","Vuhly","Углы"
"Гомельская","Акцябрскі","Пратасаўскі","в.","Заазе́ршчына","ж.","-ны, -най і -наю, -не","Zaazierščyna","Заозерщина"
"Гомельская","Акцябрскі","Пратасаўскі","в.","Зуб-Бу́да","ж.","Зуб-Буды, Зуб-Будай і ЗубБудаю, Зуб-Будзе","Zub-Buda","Зуб-Буда"
"Гомельская","Акцябрскі","Пратасаўскі","в.","Істо́пкі","мн.","-пак і -пкаў, -камі, -ках","Istopki","Истопки"
"Гомельская","Акцябрскі","Пратасаўскі","в.","Майсе́еўка","ж.","-кі, -кай і -каю, -ўцы","Majsiejeŭka","Мойсеевка"
"Гомельская","Акцябрскі","Пратасаўскі","в.","Мо́шны","мн.","-наў, -намі, -нах","Mošny","Мошны"
"Гомельская","Акцябрскі","Пратасаўскі","в.","Пратасы́","мн.","-со́ў, -са́мі, -са́х","Pratasy","Протасы"
"Гомельская","Акцябрскі","Пратасаўскі","в.","Рама́нішчы","мн.","-нішч і -шчаў, -шчамі, -шчах","Ramaniščy","Романищи"
"Гомельская","Акцябрскі","Пратасаўскі","в.","Рассве́т","м.","-та, -там, -веце","Rassviet","Рассвет"
"Гомельская","Акцябрскі","Пратасаўскі","в.","Сапе́йкаў","м.","-ва, -вам, -ве","Sapiejkaŭ","Сопейков"
"Гомельская","Акцябрскі","Пратасаўскі","в.","Слабо́дка","ж.","-кі, -кай і -каю, -дцы","Slabodka","Слободка"
"Гомельская","Акцябрскі","Пратасаўскі","в.","Чо́рныя Брады́","мн.","-ных -до́ў, -нымі -да́мі, -ных -да́х","Čornyja Brady","Чёрные Броды"
"Гомельская","Брагінскі","<раён>","г. п.","Бра́гін","м.","-на, -нам, -не","Brahin","Брагин"
"Гомельская","Брагінскі","<раён>","г. п.","Камары́н","м.","-на́, -но́м, -не́","Kamaryn","Комарин"
"Гомельская","Брагінскі","Брагінскаму раённаму Савету дэпутатаў і выканаўчаму камітэту","в.","Кава́ка","ж.","-кі, -кай і -каю, -ва́цы","Kavaka","Ковака"
"Гомельская","Брагінскі","Брагінскаму раённаму Савету дэпутатаў і выканаўчаму камітэту","в.","Кра́сная Гара́","ж.","-най -ры́, -най -ро́й і -наю -ро́ю, -най -ры́","Krasnaja Hara","Красная Гора"
