"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Шульні́кі","мн.","-каў, -камі, -ках","Šuĺniki","Шульники"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Юрчу́ны","мн.","-чу́н і -чу́наў, -намі, -нах","Jurčuny","Юрчуны"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Ажу́лаўка","ж.","-кі, -кай і -каю, -ўцы","Ažulaŭka","Ожуловка"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Анто́нішкі","мн.","-шак і -шкаў, -камі, -ках","Antoniški","Антонишки"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","х.","Бабраўні́кі","мн.","-каў, -камі, -ках","Babraŭniki","Бобровники"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Багда́нішкі","мн.","-шак і -шкаў, -камі, -ках","Bahdaniški","Богданишки"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Бязда́ны","мн.","-да́н і -да́наў, -намі, -нах","Biazdany","Безданы"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","х.","Валейку́ны","мн.","-ку́н і -ку́наў, -намі, -нах","Valіеjkuny","Волейкуны"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Вашку́ны","мн.","-ку́н і -ку́наў, -намі, -нах","Vaškuny","Вашкуны"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Віктасі́на","ж.","-ны, -най і -наю, -не","Viktasina","Виктосина"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","х.","Вусцізе́р’е","н.","-р’я, -р’ем, -р’і","Vuscizierje","Устизерье"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Вялі́кія Яцы́ны","мн.","-кіх Яцы́н і Яцы́наў, -кімі -намі, -кіх -нах","Vialikija Jacyny","Великие Яцыны"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Гайго́лі","мн.","-го́ль і -го́ляў, -лямі, -лях","Hajholi","Гайголи"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Гальчу́ны","мн.","-чу́н і -чу́наў, -намі, -нах","Haĺčuny","Гальчуны"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Гелю́ны","мн.","-лю́н і -лю́наў, -намі, -нах","Hieliuny","Гелюны"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Гервя́ты","мн.","-вя́т і -вя́таў, -тамі, -тах","Hierviaty","Гервяты"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Гібі́рда","ж.","-ды, -дай і -даю, -дзе","Hibirda","Гибирда"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Гі́ры","мн.","Гір і Гі́раў, -рамі, -рах","Hiry","Гири"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Гро́дзі","мн.","Гродзь і Гро́дзяў, -дзямі, -дзях","Hrodzi","Гроди"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Грэ́балы","мн.","-бал і -балаў, -ламі, -лах","Hrebaly","Гребалы"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Гудзяні́кі","мн.","-ні́к і -ні́каў, -камі, -ках","Hudzianiki","Гуденики"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Дубо́к","м.","Дубка́, -ко́м, -ку́","Dubok","Дубок"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Заве́льцы","мн.","-цаў, -цамі, -цах","Zavieĺcy","Завельцы"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Зарэ́чча","н.","-чча, -ччам, -ччы","Zarečča","Заречье"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","х.","Зяле́нка","ж.","-кі, -кай і -каю, -нцы","Zialienka","Зеленка"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Керплашы́на","ж.","-ны, -най і -наю, -не","Kierplašyna","Керплошина"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Керэ́лі","мн.","-рэ́ль і -рэ́ляў, -лямі, -лях","Kiereli","Керели"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Клю́чнікі","мн.","-каў, -камі, -ках","Kliučniki","Ключники"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Кністу́шкі","мн.","-шак і -шкаў, -камі, -ках","Knistuški","Книстушки"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Малы́я Яцы́ны","мн.","-лы́х Яцы́н і Яцы́наў, -лы́мі -намі, -лы́х -нах","Malyja Jacyny","Малые Яцыны"
